       58094.990       14.992508       22.656345
       58095.010       37.757370       22.646254
       58095.051       37.683559       22.623291
       58095.072       10.017027       22.620419
       58095.092       43.999500       22.617756
       58095.112       29.943032       22.614939
       58095.133       13.854751       22.625860
       58095.153       26.160327       22.618362
       58095.174       28.100964       22.631289
       58095.194       57.724050       22.640284
       58095.215       46.629971       22.648144
       58095.276       13.114612       22.403605
       58095.296       23.612726       22.405529
       58095.317       29.289736       22.370153
       58095.337       21.649132       22.301632
       58095.358       26.598500       22.287971
       58095.378       21.684650       22.292284
       58095.419       13.626094       22.286753
       58095.439       17.131921       22.279726
       58095.460       18.043103       22.259783
       58095.480       30.887151       22.315235
       58095.501       7.3055810       22.333338
       58095.521       34.885948       22.330917
       58095.542       14.566281       22.309996
       58095.562       18.575315       22.325552
       58095.582       23.381627       22.277281
       58095.603       3.4708960       22.272654
       58095.623       18.939822       22.256315
       58095.644       12.796667       22.212965
       58095.664       1.9416280       22.199604
       58095.685       29.205291       22.188408
       58095.705       37.272876       22.183292
       58095.726       20.355514       22.212000
       58095.787       43.196530       22.390116
       58095.807       15.395654       22.384912
       58095.828      0.30027800       22.377167
       58095.848      -5.6735570       22.363329
       58095.869       17.300492       22.358412
       58095.909       33.053072       22.337193
       58095.930       10.833738       22.328182
       58095.950       19.891279       22.329214
       58095.971       22.731483       22.320152
       58095.991       46.730880       22.310619
       58096.012       49.343354       22.311144
       58096.032       23.331249       22.297895
       58096.052       37.737769       22.298473
       58096.073       19.495344       22.291882
       58096.093       30.110058       22.290077
       58096.114       21.966991       22.285982
       58096.134       22.621201       22.273811
       58096.155       33.081299       22.277540
       58096.175       31.457656       22.277739
       58096.195       32.099278       22.271563
       58096.216       23.878912       22.253204
       58096.236      -3.1391870       22.245903
       58096.257       13.757698       22.235291
       58096.277       28.230299       22.235338
       58096.298       45.725396       22.213463
       58096.318       47.167129       22.214758
       58096.339       24.438669       22.197990
       58096.359       30.285464       22.185455
       58096.400       17.969101       22.168709
       58096.420       32.606301       22.138573
       58096.441       23.332168       22.131454
       58096.461       10.767568       22.104187
       58096.482      -3.0998730       22.094255
       58096.522       6.6763520       22.049473
       58096.543       5.3736220       22.013531
       58096.563       6.4620020       21.990763
       58096.584       2.8245680       21.961189
       58096.604       3.6606900       21.931112
       58096.645       18.570574       21.897718
       58096.665       27.599949       21.872856
       58096.686       16.347449       21.852493
       58096.706       19.971927       21.841866
       58096.727       31.678654       21.831856
       58096.747     -0.75887600       21.836464
       58096.768       19.970987       21.833143
       58096.788       8.5367910       21.842331
       58096.808       16.563384       21.855566
       58096.829       27.750634       21.886673
       58096.849       7.3504820       21.900864
       58096.890       2.8863970       21.903257
       58096.911       13.470544       21.890215
       58096.931       28.724351       21.891333
       58096.952       24.156107       21.894156
       58097.054       34.136305       21.873251
       58097.074       5.7178950       21.862427
       58097.095       38.691039       21.860699
       58097.115       20.064809       21.918936
       58097.135       8.7117190       21.845940
       58097.156       28.079027       21.845261
       58097.176      -3.8675510       21.843493
       58097.197       16.106785       21.831099
       58097.217      -1.4711770       21.820917
       58097.238       15.767235       21.831375
       58097.258       33.604448       21.829584
       58097.278       19.701506       21.841213
       58097.299       29.970164       21.847330
       58097.319       26.699181       21.860279
       58097.340       25.039003       21.876131
       58097.381     -0.33848300       21.923197
       58097.401       11.676743       21.938341
       58097.421       11.708644       21.947477
       58097.442      0.98840400       21.963842
       58097.462       2.1627840       21.973143
       58097.483       17.747988       21.979380
       58097.503       17.389272       21.987589
       58097.524       29.193383       22.002537
       58097.544       11.970139       22.007046
       58097.565       17.753568       22.023973
       58097.585      -8.9287790       22.012579
       58097.626       17.747483       22.015528
       58097.646       3.0960340       22.014595
       58097.667       13.004888       22.004784
       58097.687       19.733991       21.991148
       58097.708       11.660452       21.985567
       58097.728       34.672696       21.977049
       58097.748       19.404099       21.969872
       58097.769       2.5900310       21.954332
       58097.789       21.903722       21.935818
       58097.810       40.423017       21.924299
       58097.830      -12.071390       21.907135
       58097.871       8.1392570       21.867247
       58097.953       3.2524940       21.808142
       58097.973       27.374933       21.789883
       58097.994       40.250827       21.779434
       58098.014       12.156986       21.759336
       58098.035       6.7469430       21.737715
       58098.055       3.0362540       21.733889
       58098.075       12.716470       21.730497
       58098.116       19.317854       21.695295
       58098.137       33.005953       21.683352
       58098.157       34.524078       21.665434
       58098.178       31.721893       21.650326
       58098.198      -10.516437       21.633095
       58098.218       31.059707       21.618317
       58098.259       13.072996       21.619236
       58098.280       15.052982       21.501152
       58098.300     -0.74741700       21.501965
       58098.321       35.169198       21.457970
       58098.361       12.506062       21.444288
       58098.382       9.5315450       21.447809
       58098.402       12.341353       21.446648
       58098.423      -10.433181       21.447033
       58098.443       15.420066       21.461229
       58098.464       25.168268       21.426752
       58098.484       17.547035       21.397318
       58098.504       15.904302       21.368065
       58098.525       2.8966400       21.369698
       58098.545      -6.8091450       21.356627
       58098.566       25.797255       21.358610
       58098.586       27.556002       21.344080
       58098.607       9.5577110       21.345207
       58098.627       10.749468       21.340761
       58098.648      -8.9366670       21.329235
       58098.668       18.534640       21.324299
       58098.688       1.0754070       21.319824
       58098.709       17.506200       21.316645
       58098.729       6.1417010       21.306913
       58098.750       31.612286       21.301025
       58098.770       9.2164930       21.285799
       58098.791       4.3758410       21.281845
       58098.811      -11.923476       21.274633
       58098.872       12.510240       21.258665
       58098.893       8.3881450       21.265141
       58098.913       18.259207       21.250486
       58098.934       25.464172       21.249130
       58098.954       10.347351       21.238401
       58098.974      -4.8145040       21.236712
       58098.995       9.6921240       21.227953
