time,flux,flux_err,phase,norm_flux,norm_flux_err
58179.053712,12166.81388,18.423272,-24.473456527840334,0.006704459869762108,0.009147819373336571
58179.074145,12139.923927,18.411129,-24.453543807402077,-0.0066473721501694606,0.0091417899356422
58179.094579,12161.318404,18.423677,-24.433630112426204,0.003975757725077567,0.009148020470451471
58179.115013,12143.602882,18.410641,-24.41371641744324,-0.004820638233271963,0.00914154762603215
58179.135446,12145.321716,18.409606,-24.393803697004984,-0.003967175126134418,0.009141033711182963
58179.15588,12139.685917,18.404039,-24.37389000202911,-0.006765552704038492,0.009138269494791252
58179.176313,12145.071517,18.406223,-24.353977281583763,-0.004091407958358251,0.00913935392960345
58179.196747,12167.14551,18.412564,-24.33406358660789,0.006869126132019159,0.009142502464925855
58179.258048,12143.338663,18.395715,-24.274323476210796,-0.004951832501423266,0.009134136328409967
58179.278481,12135.264791,18.389698,-24.25441075577254,-0.008960801304546157,0.009131148670779477
58179.298915,12149.486708,18.395268,-24.234497060796667,-0.001899106299522528,0.00913391437677945
58179.319349,12168.765257,18.401635,-24.214583365820793,0.0076733889679851605,0.009137075822040097
58179.339782,12153.585182,18.393694,-24.194670645375446,0.00013593393970964736,0.009133132828979816
58179.360216,12161.383713,18.392868,-24.174756950399573,0.004008186000329093,0.009132722690172639
58179.380649,12185.309979,18.400266,-24.154844229961316,0.015888440476646205,0.009136396064138129
58179.401083,12136.535496,18.380299,-24.134930534985443,-0.008329850417168326,0.00912648172810556
58179.421517,12145.342384,18.383066,-24.11501684000248,-0.003956912718305838,0.009127855643455996
58179.44195,12125.333045,18.373345,-24.095104119564223,-0.013892271592226859,0.00912302881616233
58179.482817,12167.298869,18.387056,-24.055277704150097,0.006945274409658152,0.009129836822439816
58179.503251,12165.225369,18.382919,-24.03536400916713,0.005915706834983185,0.009127782652651328
58179.523685,12173.141352,18.382508,-24.015450314191256,0.009846278051996648,0.009127578576319913
58179.544118,12150.349352,18.371902,-23.995537593753003,-0.001470772424004511,0.009122312314589986
58179.564551999996,12140.576562,18.368576,-23.975623898777126,-0.00632331532157132,0.009120660835567384
58179.584985,12141.025134,18.368102,-23.955711178331782,-0.00610058313632593,0.009120425477462538
58179.605419,12174.54308,18.378396,-23.935797483355906,0.010542286586991863,0.009125536819933578
58179.625853,12155.459744,18.366862,-23.915883788380032,0.0010667216184733297,0.009119809772715688
58179.646286,12139.036068,18.358407,-23.89597106793469,-0.007088226183101005,0.009115611560107114
58179.66672,12136.945066,18.357776,-23.87605737295881,-0.008126484132355527,0.00911529824583674
58179.687153,12126.97327,18.348881,-23.85614465252056,-0.01307784069028717,0.009110881557350252
58179.748454,12174.687076,18.365849,-23.796404542123465,0.010613785797256433,0.009119306781660397
58179.768888,12166.861854,18.358758,-23.776490847147592,0.006728280691960542,0.00911578584427336
58179.789321000004,12154.582754,18.354699,-23.756578126702244,0.0006312644362622395,0.009113770404299594
58179.809755,12179.820949,18.361654,-23.73666443172637,0.013162939003573732,0.00911722381277891
58179.830189,12161.033408,18.35107,-23.716750736750495,0.00383424692666313,0.00911196847484288
58179.850622,12126.509878,18.339424,-23.696838016312242,-0.01330793154032977,0.009106185815583338
58179.871056,12172.621404,18.353157,-23.676924321329277,0.009588105107063904,0.009113004745654718
58179.89149,12129.814634,18.335129,-23.6570106263534,-0.01166700093034116,0.009104053193093233
58179.911923,12156.282517,18.343497,-23.637097905915148,0.001475258103700116,0.00910820820706231
58179.932357,12128.690528,18.330131,-23.617184210939275,-0.012225160124022616,0.009101571505734554
58179.95279,12143.270183,18.327237,-23.597271490493927,-0.004985835292604185,0.009100134530301177
58179.973224,12158.392565,18.334077,-23.577357795518054,0.002522973079252466,0.009103530837130584
58179.993657,12155.696975,18.333559,-23.557445075079798,0.0011845153707321537,0.009103273631437947
58180.014091,12136.03877,18.321188,-23.537531380103925,-0.008576492801108114,0.00909713098351593
58180.034525,12121.171183,18.314924,-23.51761768512096,-0.015958786260888556,0.009094020681472158
58180.054958,12120.433932,18.313824,-23.497704964682704,-0.016324857986954155,0.00909347449177737
58180.075392,12121.640548,18.310404,-23.47779126970683,-0.015725729600803578,0.009091776338362665
58180.095826,12134.55221,18.313823,-23.457877574730958,-0.009314623485365582,0.009093473995241283
58180.116259,12142.336736,18.310647,-23.43796485428561,-0.0054493254126325025,0.009091896996631606
58180.136693,12132.473693,18.311179,-23.418051159309737,-0.010346682181584618,0.009092161153829449
58180.218427,12170.858531,18.319066,-23.338398328474387,0.008712775047228227,0.009096077333941075
58180.238861,12151.49272,18.305752,-23.318484633498514,-0.0009030489522313377,0.0090894664524898
58180.259294,12147.638478,18.304223,-23.29857191305317,-0.002816819190065436,0.009088707248814045
58180.279728,12139.089434,18.300244,-23.278658218077293,-0.0070617280383263765,0.009086731531727173
58180.300162,12147.34799,18.301122,-23.25874452310142,-0.002961056964665237,0.00908716749041083
58180.320595,12140.651236,18.300597,-23.238831802663164,-0.006286236985872862,0.009086906808965591
58180.341029,12134.756313,18.295013,-23.2189181076802,-0.009213278980569886,0.009084134151460414
58180.361462,12158.376701,18.3024,-23.199005387241947,0.0025150960307810215,0.009087802063528955
58180.381896,12143.979811,18.290439,-23.17909169226607,-0.004633479382847752,0.00908186299540227
58180.40233,12141.46246,18.29028,-23.159177997290197,-0.005883434995904725,0.00908178404616457
58180.46363,12156.285406,18.290298,-23.099438861430723,0.0014766925964536748,0.00908179298381412
58180.484064000004,12156.908477,18.290137,-23.07952516644776,0.0017860698322000733,0.009081713041504248
